run_id,variant,case_set,instance_id,solved,steps_used,tree_nodes,effective_steps,steps_allowed,fraction_steps_used,total_tokens,cost_bpt,cost_usd,duration_s,stopped_reason
A_strict_c2_9b_mcts,A_strict,c2,partner_brief_001,1,6,7,7,18,0.3333,18019,162171.0,0.0018288500000000001,76.98,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,profile_preview_001,0,22,24,24,18,1.2222,84778,132237.0,0.0015288,256.81,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,queue_digest_001,1,3,4,4,18,0.1667,9670,87030.0,0.00098815,66.15,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,ratio_guard_001,0,0,0,0,18,0.0000,0,0.0,0.0,2.8,
A_strict_c2_9b_mcts,A_strict,c2,renewal_banner_001,1,5,6,6,18,0.2778,16962,152658.0,0.0017325,89.41,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,retry_slot_001,1,3,4,4,18,0.1667,13800,124200.0,0.0014047,74.39,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,shipment_digest_001,1,4,5,5,18,0.2222,12694,114246.0,0.00129435,72.96,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,sprint_rollup_001,1,4,5,5,18,0.2222,12125,109125.0,0.00123485,70.79,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,tag_visibility_001,1,4,5,5,18,0.2222,11244,101196.0,0.0011436000000000003,67.48,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,timeline_caption_001,0,25,27,27,18,1.3889,91897,649584.0,0.007327650000000001,244.03,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,window_center_001,1,3,4,4,18,0.1667,8797,79173.0,0.0008941,59.5,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,alert_subject_001,0,36,38,38,18,2.0000,127229,548001.0,0.006183350000000001,295.35,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,backlog_health_medium_c3_001,1,3,4,4,18,0.1667,9875,88875.0,0.0010107500000000001,69.32,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_banner_trim_001,1,3,4,4,18,0.1667,8767,78903.0,0.0008935500000000001,62.84,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_clamp_floor_001,1,3,4,4,18,0.1667,8832,79488.0,0.00090175,63.96,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_csv_count_001,1,3,4,4,18,0.1667,8747,78723.0,0.0008916999999999999,61.77,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_eta_label_001,1,3,4,4,18,0.1667,8869,79821.0,0.0009068000000000001,63.52,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_initials_join_001,0,31,41,41,18,1.7222,290930,1389951.0,0.01573255,679.33,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,c3_slug_tail_001,1,3,4,4,18,0.1667,8738,78642.0,0.0008909,61.84,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_title_case_001,1,4,5,5,18,0.2222,18903,170127.0,0.0019271499999999999,90.53,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,escalation_caption_001,0,36,38,38,18,2.0000,138305,529200.0,0.005938800000000001,274.37,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,invoice_alerts_medium_c3_001,1,3,4,4,18,0.1667,9900,89100.0,0.00101325,68.95,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,ledger_preview_001,1,30,40,40,18,1.6667,247408,1015902.0,0.011457550000000002,564.53,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,oncall_brief_medium_c3_001,1,3,4,4,18,0.1667,9834,88506.0,0.001005,67.76,auto_finalized
