run_id,variant,case_set,instance_id,solved,steps_used,effective_steps,tree_nodes,steps_allowed,solve_fraction,total_tokens,cost_bpt,stopped_reason
A_strict_c2_9b_mcts,A_strict,c2,comment_highlight_001,1,4,5,5,18,0.2222,13150,118350.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,dispatch_preview_001,0,36,38,38,18,2.0000,154581,652509.0,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,fee_rounding_001,1,4,5,5,18,0.2222,11261,101349.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,headline_api_001,0,30,38,38,18,1.6667,257240,870273.0,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,incident_brief_c2_001,1,3,4,4,18,0.1667,10155,91395.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,invoice_summary_001,1,4,5,5,18,0.2222,13260,119340.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,label_join_001,1,4,5,5,18,0.2222,10893,98037.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,partner_brief_001,1,6,7,7,18,0.3333,18019,162171.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,profile_preview_001,0,22,24,24,18,1.2222,84778,132237.0,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,queue_digest_001,1,3,4,4,18,0.1667,9670,87030.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,ratio_guard_001,0,0,0,0,0,,0,0.0,
A_strict_c2_9b_mcts,A_strict,c2,renewal_banner_001,1,5,6,6,18,0.2778,16962,152658.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,retry_slot_001,1,3,4,4,18,0.1667,13800,124200.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,shipment_digest_001,1,4,5,5,18,0.2222,12694,114246.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,sprint_rollup_001,1,4,5,5,18,0.2222,12125,109125.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,tag_visibility_001,1,4,5,5,18,0.2222,11244,101196.0,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,timeline_caption_001,0,25,27,27,18,1.3889,91897,649584.0,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,window_center_001,1,3,4,4,18,0.1667,8797,79173.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,alert_subject_001,0,36,38,38,18,2.0000,127229,548001.0,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,backlog_health_medium_c3_001,1,3,4,4,18,0.1667,9875,88875.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_banner_trim_001,1,3,4,4,18,0.1667,8767,78903.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_clamp_floor_001,1,3,4,4,18,0.1667,8832,79488.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_csv_count_001,1,3,4,4,18,0.1667,8747,78723.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_eta_label_001,1,3,4,4,18,0.1667,8869,79821.0,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_initials_join_001,0,31,41,41,18,1.7222,290930,1389951.0,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,c3_slug_tail_001,1,3,4,4,18,0.1667,8738,78642.0,auto_finalized
