run_id,variant,case_set,instance_id,solved,steps_used,steps_allowed,fraction_steps_used,total_tokens,cost_bpt,cost_usd,duration_s,stopped_reason
A_c1_9b_mcts,A,c1,simple_mean_bug_001,1,3,18,0.1667,9698,87282.0,0.0009862500000000001,59.09,auto_finalized
A_c1_9b_mcts,A,c1,status_slug_001,1,3,18,0.1667,9013,81117.0,0.0009222499999999999,61.75,auto_finalized
A_c1_9b_mcts,A,c1,team_digest_001,1,4,18,0.2222,21924,197316.0,0.00225225,105.31,auto_finalized
A_c1_9b_mcts,A,c1,workspace_digest_001,1,6,18,0.3333,23890,215010.0,0.0024293,86.19,auto_finalized
A_c2_9b_mcts,A,c2,assignee_board_001,0,18,18,1.0000,89020,801180.0,0.008991299999999999,216.7,max_iterations
A_c2_9b_mcts,A,c2,campaign_header_001,0,5,18,0.2778,11298,101682.0,0.00116125,81.19,parse_failure
A_c2_9b_mcts,A,c2,comment_highlight_001,1,4,18,0.2222,8344,75096.0,0.0008450500000000001,56.09,auto_finalized
A_c2_9b_mcts,A,c2,dispatch_preview_001,0,18,18,1.0000,59779,538011.0,0.006043000000000001,148.79,empty_patch_guardrail
A_c2_9b_mcts,A,c2,fee_rounding_001,1,3,18,0.1667,4830,43470.0,0.0004894000000000001,47.44,auto_finalized
A_c2_9b_mcts,A,c2,headline_api_001,0,12,18,0.6667,106523,958707.0,0.010826800000000001,301.69,max_iterations
A_c2_9b_mcts,A,c2,incident_brief_c2_001,1,4,18,0.2222,7696,69264.0,0.0007819,57.54,auto_finalized
A_c2_9b_mcts,A,c2,invoice_summary_001,1,4,18,0.2222,8139,73251.0,0.00082105,53.92,auto_finalized
A_c2_9b_mcts,A,c2,label_join_001,1,4,18,0.2222,6865,61785.0,0.0007112,69.73,auto_finalized
A_c2_9b_mcts,A,c2,partner_brief_001,1,6,18,0.3333,10785,97065.0,0.00109015,60.88,auto_finalized
A_c2_9b_mcts,A,c2,profile_preview_001,0,18,18,1.0000,55661,500949.0,0.005641,154.99,max_iterations
A_c2_9b_mcts,A,c2,queue_digest_001,1,4,18,0.2222,7686,69174.0,0.0007768,55.14,auto_finalized
A_c2_9b_mcts,A,c2,ratio_guard_001,0,3,18,0.1667,8188,73692.0,0.0008420000000000001,68.01,parse_failure
A_c2_9b_mcts,A,c2,renewal_banner_001,0,18,18,1.0000,59875,538875.0,0.00607505,179.68,max_iterations
A_c2_9b_mcts,A,c2,retry_slot_001,1,3,18,0.1667,5004,45036.0,0.0005079,49.61,auto_finalized
A_c2_9b_mcts,A,c2,shipment_digest_001,1,4,18,0.2222,7721,69489.0,0.0007863000000000001,57.71,auto_finalized
A_c2_9b_mcts,A,c2,sprint_rollup_001,1,3,18,0.1667,5257,47313.0,0.0005325499999999999,48.39,auto_finalized
A_c2_9b_mcts,A,c2,tag_visibility_001,1,4,18,0.2222,6863,61767.0,0.00069435,54.04,auto_finalized
A_c2_9b_mcts,A,c2,timeline_caption_001,0,14,18,0.7778,39755,357795.0,0.00403695,131.51,parse_failure
A_c2_9b_mcts,A,c2,window_center_001,1,3,18,0.1667,4856,43704.0,0.0004903500000000001,46.47,auto_finalized
A_c3_9b_mcts,A,c3,alert_subject_001,0,0,18,0.0000,0,0.0,0.0,3.3,
A_c3_9b_mcts,A,c3,backlog_health_medium_c3_001,1,3,18,0.1667,9875,88875.0,0.0010107500000000001,139.16,auto_finalized
A_c3_9b_mcts,A,c3,c3_banner_trim_001,1,3,18,0.1667,8767,78903.0,0.0008935500000000001,63.68,auto_finalized
A_c3_9b_mcts,A,c3,c3_clamp_floor_001,1,3,18,0.1667,8831,79479.0,0.0009016,65.93,auto_finalized
A_c3_9b_mcts,A,c3,c3_csv_count_001,1,3,18,0.1667,8747,78723.0,0.0008916999999999999,66.63,auto_finalized
A_c3_9b_mcts,A,c3,c3_eta_label_001,1,3,18,0.1667,8868,79812.0,0.0009066500000000002,67.97,auto_finalized
A_c3_9b_mcts,A,c3,c3_initials_join_001,0,18,18,1.0000,149153,1342377.0,0.0150533,397.62,reviewer_rejected
A_c3_9b_mcts,A,c3,c3_slug_tail_001,1,3,18,0.1667,8743,78687.0,0.0008916500000000001,62.12,auto_finalized
A_c3_9b_mcts,A,c3,c3_title_case_001,1,5,18,0.2778,22586,203274.0,0.0023247999999999997,126.13,auto_finalized
A_c3_9b_mcts,A,c3,escalation_caption_001,0,18,18,1.0000,123128,1108152.0,0.0124908,425.64,reviewer_rejected
A_c3_9b_mcts,A,c3,invoice_alerts_medium_c3_001,1,3,18,0.1667,9900,89100.0,0.00101325,72.73,auto_finalized
A_c3_9b_mcts,A,c3,ledger_preview_001,1,2,18,0.1111,8335,75015.0,0.00086755,214.32,auto_finalized
A_c3_9b_mcts,A,c3,oncall_brief_medium_c3_001,1,3,18,0.1667,9834,88506.0,0.001005,70.81,auto_finalized
A_c3_9b_mcts,A,c3,quota_snapshot_medium_c3_001,1,3,18,0.1667,9919,89271.0,0.00101545,71.42,auto_finalized
A_c3_9b_mcts,A,c3,release_notes_medium_c3_001,1,5,18,0.2778,15191,136719.0,0.0015457500000000002,78.69,auto_finalized
A_c3_9b_mcts,A,c3,roster_signature_001,0,12,18,0.6667,114071,1026639.0,0.011649300000000001,464.12,reviewer_rejected
A_c3_9b_mcts,A,c3,segment_badge_001,0,3,18,0.1667,14019,126171.0,0.00144645,214.55,reviewer_rejected
A_c3_9b_mcts,A,c3,ticket_digest_medium_c3_001,1,4,18,0.2222,12629,113661.0,0.001286,79.29,auto_finalized
A_c3_9b_mcts,A,c3,transfer_digest_001,0,13,18,0.7222,97841,880569.0,0.0099005,407.96,reviewer_rejected
A_c3_9b_mcts,A,c3,uptime_rollup_medium_c3_001,1,4,18,0.2222,12693,114237.0,0.0012932500000000001,72.1,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,board_rollup_001,1,4,18,0.2222,13289,119601.0,0.0013617000000000002,85.46,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,budget_snapshot_001,0,18,18,1.0000,137873,1240857.0,0.01394825,409.42,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,contact_card_001,0,15,18,0.8333,66916,602244.0,0.006752000000000001,180.39,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,digest_preview_001,0,18,18,1.0000,96814,871326.0,0.0097759,342.88,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,incident_brief_001,1,6,18,0.3333,21845,196605.0,0.00225945,132.08,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,invoice_footer_001,1,8,18,0.4444,55339,498051.0,0.0056709,213.83,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,label_formatter_001,0,0,18,0.0000,0,0.0,0.0,2.78,
A_strict_c1_9b_mcts,A_strict,c1,median_window_001,1,3,18,0.1667,16237,146133.0,0.0016625000000000001,89.66,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,milestone_rollup_001,0,4,18,0.2222,12760,114840.0,0.0013080000000000001,107.38,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,nested_app_001,1,5,18,0.2778,27673,249057.0,0.0028592,145.75,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,owner_recap_001,1,9,18,0.5000,37323,335907.0,0.00379625,130.01,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,owner_sort_001,1,3,18,0.1667,11838,106542.0,0.00121035,74.11,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,priority_snapshot_001,0,6,18,0.3333,19526,175734.0,0.0019867,112.59,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,renewal_preview_001,1,7,18,0.3889,43788,394092.0,0.004458,241.98,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,risk_score_001,1,3,18,0.1667,9610,86490.0,0.00097715,59.82,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,shipment_preview_001,0,15,18,0.8333,94280,848520.0,0.00951655,280.57,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,simple_mean_bug_001,1,3,18,0.1667,9698,87282.0,0.0009862500000000001,61.8,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,status_slug_001,1,3,18,0.1667,9013,81117.0,0.0009222499999999999,65.86,auto_finalized
A_strict_c1_9b_mcts,A_strict,c1,team_digest_001,0,13,18,0.7222,148612,1337508.0,0.01517725,664.58,reviewer_rejected
A_strict_c1_9b_mcts,A_strict,c1,workspace_digest_001,1,6,18,0.3333,23890,215010.0,0.0024293,91.23,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,assignee_board_001,0,18,18,1.0000,69875,628875.0,0.00704865,378.15,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,campaign_header_001,0,18,18,1.0000,62266,560394.0,0.00629635,405.05,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,comment_highlight_001,1,4,18,0.2222,13150,118350.0,0.0013414499999999999,73.83,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,dispatch_preview_001,0,18,18,1.0000,72501,652509.0,0.007361650000000001,334.47,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,fee_rounding_001,1,4,18,0.2222,11261,101349.0,0.0011447,66.59,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,headline_api_001,0,17,18,0.9444,96697,870273.0,0.00980625,583.27,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,incident_brief_c2_001,1,3,18,0.1667,10155,91395.0,0.0010411,74.56,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,invoice_summary_001,1,4,18,0.2222,13260,119340.0,0.0013457,69.44,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,label_join_001,1,4,18,0.2222,10893,98037.0,0.0011084,67.85,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,partner_brief_001,1,6,18,0.3333,18019,162171.0,0.0018288500000000001,76.98,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,profile_preview_001,0,4,18,0.2222,14693,132237.0,0.0015288,256.81,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,queue_digest_001,1,3,18,0.1667,9670,87030.0,0.00098815,66.15,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,ratio_guard_001,0,0,18,0.0000,0,0.0,0.0,2.8,
A_strict_c2_9b_mcts,A_strict,c2,renewal_banner_001,1,5,18,0.2778,16962,152658.0,0.0017325,89.41,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,retry_slot_001,1,3,18,0.1667,13800,124200.0,0.0014047,74.39,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,shipment_digest_001,1,4,18,0.2222,12694,114246.0,0.00129435,72.96,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,sprint_rollup_001,1,4,18,0.2222,12125,109125.0,0.00123485,70.79,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,tag_visibility_001,1,4,18,0.2222,11244,101196.0,0.0011436000000000003,67.48,auto_finalized
A_strict_c2_9b_mcts,A_strict,c2,timeline_caption_001,0,18,18,1.0000,72176,649584.0,0.007327650000000001,244.03,reviewer_rejected
A_strict_c2_9b_mcts,A_strict,c2,window_center_001,1,3,18,0.1667,8797,79173.0,0.0008941,59.5,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,alert_subject_001,0,18,18,1.0000,60889,548001.0,0.006183350000000001,295.35,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,backlog_health_medium_c3_001,1,3,18,0.1667,9875,88875.0,0.0010107500000000001,69.32,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_banner_trim_001,1,3,18,0.1667,8767,78903.0,0.0008935500000000001,62.84,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_clamp_floor_001,1,3,18,0.1667,8832,79488.0,0.00090175,63.96,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_csv_count_001,1,3,18,0.1667,8747,78723.0,0.0008916999999999999,61.77,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_eta_label_001,1,3,18,0.1667,8869,79821.0,0.0009068000000000001,63.52,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_initials_join_001,0,18,18,1.0000,154439,1389951.0,0.01573255,679.33,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,c3_slug_tail_001,1,3,18,0.1667,8738,78642.0,0.0008909,61.84,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,c3_title_case_001,1,4,18,0.2222,18903,170127.0,0.0019271499999999999,90.53,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,escalation_caption_001,0,18,18,1.0000,58800,529200.0,0.005938800000000001,274.37,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,invoice_alerts_medium_c3_001,1,3,18,0.1667,9900,89100.0,0.00101325,68.95,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,ledger_preview_001,1,13,18,0.7222,112878,1015902.0,0.011457550000000002,564.53,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,oncall_brief_medium_c3_001,1,3,18,0.1667,9834,88506.0,0.001005,67.76,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,quota_snapshot_medium_c3_001,1,3,18,0.1667,9919,89271.0,0.00101545,70.04,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,release_notes_medium_c3_001,1,4,18,0.2222,12626,113634.0,0.0012879,72.89,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,roster_signature_001,0,9,18,0.5000,42110,378990.0,0.0043458,288.44,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,segment_badge_001,0,18,18,1.0000,68302,614718.0,0.006910050000000001,281.72,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,ticket_digest_medium_c3_001,1,4,18,0.2222,12629,113661.0,0.001286,72.84,auto_finalized
A_strict_c3_9b_mcts,A_strict,c3,transfer_digest_001,0,18,18,1.0000,142906,1286154.0,0.01445365,501.54,reviewer_rejected
A_strict_c3_9b_mcts,A_strict,c3,uptime_rollup_medium_c3_001,1,3,18,0.1667,14662,131958.0,0.0014918000000000002,75.11,auto_finalized
B_c1_rafe_linear,B,c1,board_rollup_001,1,6,0,,2003,240360.0,0.0006748500000000001,90.96,
B_c1_rafe_linear,B,c1,budget_snapshot_001,1,6,0,,2116,253920.0,0.00072285,114.11,
B_c1_rafe_linear,B,c1,contact_card_001,0,60,0,,2025,243000.0,0.00071595,1273.47,
B_c1_rafe_linear,B,c1,digest_preview_001,1,10,0,,2158,258960.0,0.00072465,192.99,
B_c1_rafe_linear,B,c1,incident_brief_001,1,10,0,,2006,240720.0,0.0006541499999999999,172.99,
B_c1_rafe_linear,B,c1,invoice_footer_001,1,18,0,,1813,217560.0,0.0005986499999999999,334.11,
B_c1_rafe_linear,B,c1,label_formatter_001,1,7,0,,2130,255600.0,0.0007865999999999999,154.66,
B_c1_rafe_linear,B,c1,median_window_001,1,6,0,,1836,220320.0,0.0006259499999999999,93.97,
B_c1_rafe_linear,B,c1,milestone_rollup_001,1,8,0,,1795,215400.0,0.0005882999999999999,128.15,
B_c1_rafe_linear,B,c1,nested_app_001,1,8,0,,2023,242760.0,0.00068325,121.01,
B_c1_rafe_linear,B,c1,owner_recap_001,1,12,0,,2046,245520.0,0.0006542999999999999,164.65,
B_c1_rafe_linear,B,c1,owner_sort_001,1,6,0,,1724,206880.0,0.00055335,94.95,
B_c1_rafe_linear,B,c1,priority_snapshot_001,1,10,0,,1884,226080.0,0.00063225,149.37,
B_c1_rafe_linear,B,c1,renewal_preview_001,1,16,0,,2076,249120.0,0.0007326,229.62,
B_c1_rafe_linear,B,c1,risk_score_001,1,7,0,,1712,205440.0,0.0005475,101.78,
B_c1_rafe_linear,B,c1,shipment_preview_001,0,60,0,,2011,241320.0,0.0006643499999999999,628.69,
B_c1_rafe_linear,B,c1,simple_mean_bug_001,1,7,0,,1623,194760.0,0.00047430000000000004,95.93,
B_c1_rafe_linear,B,c1,status_slug_001,1,7,0,,1738,208560.0,0.000564,95.29,
B_c1_rafe_linear,B,c1,team_digest_001,1,10,0,,1766,211920.0,0.0005726999999999999,120.91,
B_c1_rafe_linear,B,c1,workspace_digest_001,1,10,0,,2242,269040.0,0.00076425,133.32,
B_c2_rafe_linear,B,c2,assignee_board_001,0,18,18,1.0000,56898,2086650.0,0.00566032,187.25,reviewer_rejected
B_c2_rafe_linear,B,c2,campaign_header_001,0,0,18,0.0000,0,0.0,0.0,2.79,
B_c2_rafe_linear,B,c2,comment_highlight_001,1,4,18,0.2222,9799,388920.0,0.0010716200000000001,58.51,auto_finalized
B_c2_rafe_linear,B,c2,dispatch_preview_001,0,18,18,1.0000,58772,2110470.0,0.00570619,176.2,reviewer_rejected
B_c2_rafe_linear,B,c2,fee_rounding_001,1,3,18,0.1667,6411,277920.0,0.0007604,50.21,auto_finalized
B_c2_rafe_linear,B,c2,headline_api_001,1,3,18,0.1667,8414,531780.0,0.0016013499999999999,145.52,auto_finalized
B_c2_rafe_linear,B,c2,incident_brief_c2_001,0,18,18,1.0000,59716,2067960.0,0.00561492,168.91,reviewer_rejected
B_c2_rafe_linear,B,c2,invoice_summary_001,1,3,18,0.1667,7427,316050.0,0.00087018,53.28,auto_finalized
B_c2_rafe_linear,B,c2,label_join_001,1,3,18,0.1667,6435,280980.0,0.00077914,50.54,auto_finalized
B_c2_rafe_linear,B,c2,partner_brief_001,1,4,18,0.2222,9141,402390.0,0.0012143599999999998,66.05,auto_finalized
B_c2_rafe_linear,B,c2,profile_preview_001,0,18,18,1.0000,52580,1909230.0,0.00517399,162.17,reviewer_rejected
B_c2_rafe_linear,B,c2,queue_digest_001,1,4,18,0.2222,11243,603240.0,0.0018401899999999998,91.23,auto_finalized
B_c2_rafe_linear,B,c2,ratio_guard_001,1,3,18,0.1667,7552,326280.0,0.0009319199999999999,54.81,auto_finalized
B_c2_rafe_linear,B,c2,renewal_banner_001,0,18,18,1.0000,47971,1760880.0,0.00473808,185.23,reviewer_rejected
B_c2_rafe_linear,B,c2,retry_slot_001,1,3,18,0.1667,6775,292260.0,0.00081003,51.85,auto_finalized
B_c2_rafe_linear,B,c2,shipment_digest_001,1,4,18,0.2222,9562,389730.0,0.00109067,59.03,auto_finalized
B_c2_rafe_linear,B,c2,sprint_rollup_001,1,3,18,0.1667,6990,304110.0,0.00083723,51.19,auto_finalized
B_c2_rafe_linear,B,c2,tag_visibility_001,1,3,18,0.1667,6521,283290.0,0.00078496,52.04,auto_finalized
B_c2_rafe_linear,B,c2,timeline_caption_001,0,18,18,1.0000,64304,2287950.0,0.006124610000000001,173.31,reviewer_rejected
B_c2_rafe_linear,B,c2,window_center_001,0,0,18,0.0000,0,0.0,0.0,2.75,
B_c3_rafe_linear,B,c3,alert_subject_001,0,18,18,1.0000,45770,1645980.0,0.004441940000000001,167.66,reviewer_rejected
B_c3_rafe_linear,B,c3,backlog_health_medium_c3_001,1,4,18,0.2222,9479,385170.0,0.0010750199999999999,56.18,auto_finalized
B_c3_rafe_linear,B,c3,c3_banner_trim_001,1,3,18,0.1667,6549,280710.0,0.00076884,52.22,auto_finalized
B_c3_rafe_linear,B,c3,c3_clamp_floor_001,1,3,18,0.1667,6613,297300.0,0.0008499199999999999,56.44,auto_finalized
B_c3_rafe_linear,B,c3,c3_csv_count_001,1,3,18,0.1667,6419,275820.0,0.00074627,49.11,auto_finalized
B_c3_rafe_linear,B,c3,c3_eta_label_001,1,3,18,0.1667,6454,282630.0,0.00078895,54.68,auto_finalized
B_c3_rafe_linear,B,c3,c3_initials_join_001,1,13,18,0.7222,36958,1488630.0,0.00409201,174.8,submitted
B_c3_rafe_linear,B,c3,c3_slug_tail_001,1,3,18,0.1667,6592,296670.0,0.00085209,54.13,auto_finalized
B_c3_rafe_linear,B,c3,c3_title_case_001,1,7,18,0.3889,16274,573360.0,0.00160059,66.04,auto_finalized
B_c3_rafe_linear,B,c3,escalation_caption_001,0,18,18,1.0000,48578,1782960.0,0.00498545,214.99,reviewer_rejected
B_c3_rafe_linear,B,c3,invoice_alerts_medium_c3_001,1,4,18,0.2222,9286,371010.0,0.00100677,52.72,auto_finalized
B_c3_rafe_linear,B,c3,ledger_preview_001,1,4,18,0.2222,8729,357720.0,0.0010096200000000001,57.07,auto_finalized
B_c3_rafe_linear,B,c3,oncall_brief_medium_c3_001,1,4,18,0.2222,9789,407790.0,0.00117868,58.63,auto_finalized
B_c3_rafe_linear,B,c3,quota_snapshot_medium_c3_001,1,4,18,0.2222,9473,387060.0,0.0010823999999999999,58.82,auto_finalized
B_c3_rafe_linear,B,c3,release_notes_medium_c3_001,1,4,18,0.2222,9600,390510.0,0.0010971800000000001,61.62,auto_finalized
B_c3_rafe_linear,B,c3,roster_signature_001,0,18,18,1.0000,55673,2006520.0,0.005431780000000001,150.27,reviewer_rejected
B_c3_rafe_linear,B,c3,segment_badge_001,1,5,18,0.2778,10937,441150.0,0.00128633,68.2,auto_finalized
B_c3_rafe_linear,B,c3,ticket_digest_medium_c3_001,1,4,18,0.2222,9627,389520.0,0.00108214,60.63,auto_finalized
B_c3_rafe_linear,B,c3,transfer_digest_001,0,18,18,1.0000,61908,2317590.0,0.006601289999999999,244.96,reviewer_rejected
B_c3_rafe_linear,B,c3,uptime_rollup_medium_c3_001,1,4,18,0.2222,10234,458220.0,0.00142067,106.77,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,board_rollup_001,1,3,18,0.1667,7585,335550.0,0.00092885,66.73,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,budget_snapshot_001,0,18,18,1.0000,57887,2348160.0,0.006304960000000001,216.79,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,contact_card_001,0,6,18,0.3333,17174,862260.0,0.0023624899999999996,163.31,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,digest_preview_001,0,18,18,1.0000,72169,2635860.0,0.00705009,254.63,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,incident_brief_001,1,6,18,0.3333,16410,638730.0,0.00186249,90.79,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,invoice_footer_001,1,10,18,0.5556,32279,1118490.0,0.0033307799999999998,121.93,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,label_formatter_001,1,6,18,0.3333,15194,592260.0,0.0017798900000000001,85.18,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,median_window_001,1,3,18,0.1667,6663,288900.0,0.0007948199999999999,63.01,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,milestone_rollup_001,1,4,18,0.2222,9248,374640.0,0.00104274,68.74,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,nested_app_001,1,5,18,0.2778,12643,509070.0,0.00147518,84.59,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,owner_recap_001,1,17,18,0.9444,49277,1619790.0,0.004507399999999999,120.59,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,owner_sort_001,1,3,18,0.1667,6645,283230.0,0.0007587900000000001,61.66,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,priority_snapshot_001,1,4,18,0.2222,10114,407820.0,0.00114637,73.77,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,renewal_preview_001,1,4,18,0.2222,10944,599490.0,0.0018201299999999999,106.7,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,risk_score_001,1,3,18,0.1667,7067,307770.0,0.00086634,64.85,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,shipment_preview_001,0,18,18,1.0000,50301,1857780.0,0.00500688,223.55,reviewer_rejected
B_strict_c1_rafe_linear,B_strict,c1,simple_mean_bug_001,1,3,18,0.1667,7124,300030.0,0.0007975500000000001,60.27,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,status_slug_001,1,3,18,0.1667,6612,285210.0,0.00077656,60.88,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,team_digest_001,1,6,18,0.3333,15469,559830.0,0.00156155,81.11,auto_finalized
B_strict_c1_rafe_linear,B_strict,c1,workspace_digest_001,1,4,18,0.2222,11546,460410.0,0.00122297,64.82,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,assignee_board_001,0,18,18,1.0000,53046,1974870.0,0.0054040500000000005,199.78,reviewer_rejected
B_strict_c2_rafe_linear,B_strict,c2,campaign_header_001,0,18,18,1.0000,49335,1795590.0,0.004812370000000001,179.09,reviewer_rejected
B_strict_c2_rafe_linear,B_strict,c2,comment_highlight_001,1,4,18,0.2222,9696,384840.0,0.0010528599999999999,66.2,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,dispatch_preview_001,0,18,18,1.0000,63288,2272050.0,0.00618512,218.09,reviewer_rejected
B_strict_c2_rafe_linear,B_strict,c2,fee_rounding_001,1,3,18,0.1667,6515,280410.0,0.00076508,56.06,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,headline_api_001,1,3,18,0.1667,7823,455730.0,0.00121646,140.47,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,incident_brief_c2_001,1,6,18,0.3333,16825,767550.0,0.0023095499999999996,111.68,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,invoice_summary_001,1,3,18,0.1667,7451,319290.0,0.0008870599999999998,66.19,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,label_join_001,1,3,18,0.1667,7925,469950.0,0.0013862,87.69,auto_finalized
B_strict_c2_rafe_linear,B_strict,c2,partner_brief_001,1,7,18,0.3889,16527,612630.0,0.00176512,84.04,auto_finalized
